,mo,da,yr
13871,1,1,1900
13872,1,2,1900
13873,1,3,1900
13874,1,4,1900
13875,1,5,1900
13876,1,6,1900
13877,1,7,1900
13878,1,8,1900
13879,1,9,1900
13880,1,10,1900
13881,1,11,1900
13882,1,12,1900
13883,1,13,1900
13884,1,14,1900
13885,1,15,1900
13886,1,16,1900
13887,1,17,1900
13888,1,18,1900
13889,1,19,1900
13890,1,20,1900
13891,1,21,1900
13892,1,22,1900
13893,1,23,1900
13894,1,24,1900
13895,1,25,1900
13896,1,26,1900
13897,1,27,1900
13898,1,28,1900
13899,1,29,1900
13900,1,30,1900
13901,1,31,1900
13902,2,1,1900
13903,2,2,1900
13904,2,3,1900
13905,2,4,1900
13906,2,5,1900
13907,2,6,1900
13908,2,7,1900
13909,2,8,1900
13910,2,9,1900
13911,2,10,1900
13912,2,11,1900
13913,2,12,1900
13914,2,13,1900
13915,2,14,1900
13916,2,15,1900
13917,2,16,1900
13918,2,17,1900
13919,2,18,1900
13920,2,19,1900
13921,2,20,1900
13922,2,21,1900
13923,2,22,1900
13924,2,23,1900
13925,2,24,1900
13926,2,25,1900
13927,2,26,1900
13928,2,27,1900
13929,2,28,1900
13930,3,1,1900
13931,3,2,1900
13932,3,3,1900
13933,3,4,1900
13934,3,5,1900
13935,3,6,1900
13936,3,7,1900
13937,3,8,1900
13938,3,9,1900
13939,3,10,1900
13940,3,11,1900
13941,3,12,1900
13942,3,13,1900
13943,3,14,1900
13944,3,15,1900
13945,3,16,1900
13946,3,17,1900
13947,3,18,1900
13948,3,19,1900
13949,3,20,1900
13950,3,21,1900
13951,3,22,1900
13952,3,23,1900
13953,3,24,1900
13954,3,25,1900
13955,3,26,1900
13956,3,27,1900
13957,3,28,1900
13958,3,29,1900
13959,3,30,1900
13960,3,31,1900
13961,4,1,1900
13962,4,2,1900
13963,4,3,1900
13964,4,4,1900
13965,4,5,1900
13966,4,6,1900
13967,4,7,1900
13968,4,8,1900
13969,4,9,1900
13970,4,10,1900
13971,4,11,1900
13972,4,12,1900
13973,4,13,1900
13974,4,14,1900
13975,4,15,1900
13976,4,16,1900
13977,4,17,1900
13978,4,18,1900
13979,4,19,1900
13980,4,20,1900
13981,4,21,1900
13982,4,22,1900
13983,4,23,1900
13984,4,24,1900
13985,4,25,1900
13986,4,26,1900
13987,4,27,1900
13988,4,28,1900
13989,4,29,1900
13990,4,30,1900
13991,5,1,1900
13992,5,2,1900
13993,5,3,1900
13994,5,4,1900
13995,5,5,1900
13996,5,6,1900
13997,5,7,1900
13998,5,8,1900
13999,5,9,1900
14000,5,10,1900
14001,5,11,1900
14002,5,12,1900
14003,5,13,1900
14004,5,14,1900
14005,5,15,1900
14006,5,16,1900
14007,5,17,1900
14008,5,18,1900
