"","Latitude","Longitude","Elevation","Name1","Name2"
"1","40.155","-103.1417"," 1383.8","AKRON","4"
"2","40.1881","-105.5019"," 2503.9","ALLENSPARK","2SE"
"3","39.5008","-108.3794"," 1730.3","ALTENBERN",""
"4","37.8667","-107.8833"," 2651.8","AMES",""
"5","38.9933","-105.8919"," 2718.8","ANTERO","RSVR"
"6","39.2833","-103.2667"," 1597.5","ARRIBA",""
"7","39.1833","-106.8333"," 2416.5","ASPEN",""
"8","39.1853","-106.8381"," 2455.5","ASPEN","1"
"9","39.4047","-105.4767"," 2356.1","BAILEY",""
"10","37.4786","-105.5717"," 2349.7","BLANCA","4"
"11","38.4667","-107.1678"," 2306.7","BLUE","MESA"
"12","39.1025","-107.8989"," 3002.9","BONHAM","RSVR"
"13","39.6567","-102.1192"," 1132.9","BONNY","DAM"
"14","39.9919","-105.2667"," 1671.5","BOULDER","HCN"
"15","38.4597","-102.4361"," 1196.3","BRANDON",""
"16","37.0167","-103.8833"," 1914.1","BRANSON",""
"17","39.4861","-106.0431"," 2920.0","BRECKENRIDGE",""
"18","40.635","-104.3267"," 1473.4","BRIGGSDALE",""
"19","39.9436","-104.8361"," 1528.9","BRIGHTON","3"
"20","40.8008","-108.9172"," 1631.9","BROWNS","PARK"
"21","38.8247","-106.1275"," 2421.9","BUENA","VISTA"
"22","39.3061","-102.2608"," 1289.3","BURLINGTON",""
"23","39.7403","-104.1275"," 1554.5","BYERS","5"
"24","39.6553","-105.7089"," 3054.1","CABIN","CREEK"
"25","37.0158","-102.555"," 1255.2","CAMPO","7"
"26","38.46","-105.2256"," 1635.6","CANON","CITY"
"27","37.6667","-107.8"," 2699.0","CASCADE",""
"28","39.4106","-104.9058"," 1885.2","CASTLE","ROCK"
"29","38.9","-107.9333"," 1903.2","CEDAREDGE",""
"30","37.7067","-106.1444"," 2338.7","CENTER","4"
"31","39.2203","-105.2783"," 2097.0","CHEESMAN","HCN"
"32","39.6261","-104.8319"," 1721.2","CHERRY","CREEK"
"33","38.8175","-102.3614"," 1295.4","CHEYENNE","WELLS"
"34","38.4442","-107.5592"," 2137.0","CIMARRON",""
"35","39.3672","-106.1897"," 3442.4","CLIMAX",""
"36","38.4461","-106.7611"," 2439.0","COCHETOPA","CREEK"
"37","39.2425","-107.9631"," 1822.7","COLLBRAN","HCN"
"38","39.1014","-108.7339"," 1762.0","COLORADO","NM"
"39","40.85","-106.9667"," 2653.9","COLUMBINE",""
"40","37.3444","-108.5931"," 1879.7","CORTEZ",""
"41","40.5333","-107.55"," 1914.1","CRAIG",""
"42","40.4506","-107.5894"," 1980.0","CRAIG","4"
"43","38.8739","-106.9769"," 2702.1","CRESTED","BUTTE"
"44","38.7497","-105.1797"," 2910.8","CRIPPLE","CREEK"
"45","37.0167","-106.45"," 3052.6","CUMBRES",""
"46","37.6742","-106.3247"," 2396.9","DEL","NORTE"
"47","38.7531","-108.0783"," 1502.7","DELTA",""
"48","39.6261","-106.0353"," 2763.0","DILLON","1"
"49","40.2442","-108.9719"," 1820.3","DINOSAUR","NATL"
"50","37.3833","-103.8833"," 1563.6","DOHERTY","RCH"
"51","37.4753","-108.4975"," 2118.4","DOLORES",""
"52","37.2833","-107.8833"," 2011.7","DURANGO",""
"53","38.4758","-102.7769"," 1283.8","EADS","HCN"
"54","39.1092","-104.5997"," 2197.6","EASTONVILLE","2"
"55","39.75","-105.0833"," 1661.2","EDGEWATER",""
